word	score
cussed	-0.3
cutthroat	-0.3
cynical	-0.3
cynicism	-0.3
d*mn	-0.3
damage	-0.3
damaged	-0.3
damages	-0.3
damaging	-0.3
damn	-0.3
damnable	-0.3
damnably	-0.3
damnation	-0.3
damned	-0.3
damning	-0.3
damper	-0.3
danger	-0.3
dangerous	-0.3
dangerousness	-0.3
dark	-0.3
darken	-0.3
darkened	-0.3
darker	-0.3
darkness	-0.3
dastard	-0.3
dastardly	-0.3
daunt	-0.3
daunting	-0.3
dauntingly	-0.3
dawdle	-0.3
daze	-0.3
dazed	-0.3
dead	-0.3
deadbeat	-0.3
deadlock	-0.3
deadly	-0.3
deadweight	-0.3
deaf	-0.3
dearth	-0.3
death	-0.3
debacle	-0.3
debase	-0.3
debasement	-0.3
debaser	-0.3
debatable	-0.3
debauch	-0.3
debaucher	-0.3
debauchery	-0.3
debilitate	-0.3
debilitating	-0.3
debility	-0.3
debt	-0.3
debts	-0.3
decadence	-0.3
decadent	-0.3
decay	-0.3
decayed	-0.3
deceit	-0.3
deceitful	-0.3
deceitfully	-0.3
deceitfulness	-0.3
deceive	-0.3
deceiver	-0.3
deceivers	-0.3
deceiving	-0.3
deception	-0.3
deceptive	-0.3
deceptively	-0.3
declaim	-0.3
decline	-0.3
declines	-0.3
declining	-0.3
decrement	-0.3
decrepit	-0.3
decrepitude	-0.3
decry	-0.3
defamation	-0.3
defamations	-0.3
defamatory	-0.3
defame	-0.3
defect	-0.3
defective	-0.3
defects	-0.3
defensive	-0.3
defiance	-0.3
defiant	-0.3
defiantly	-0.3
deficiencies	-0.3
deficiency	-0.3
deficient	-0.3
defile	-0.3
defiler	-0.3
deform	-0.3
deformed	-0.3
defrauding	-0.3
defunct	-0.3
defy	-0.3
degenerate	-0.3
degenerately	-0.3
degeneration	-0.3
degradation	-0.3
degrade	-0.3
degrading	-0.3
degradingly	-0.3
dehumanization	-0.3
dehumanize	-0.3
deign	-0.3
deject	-0.3
dejected	-0.3
dejectedly	-0.3
dejection	-0.3
delay	-0.3
delayed	-0.3
delaying	-0.3
delays	-0.3
delinquency	-0.3
delinquent	-0.3
delirious	-0.3
delirium	-0.3
delude	-0.3
deluded	-0.3
deluge	-0.3
delusion	-0.3
delusional	-0.3
delusions	-0.3
demean	-0.3
